"","Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","DeltaAIC","DeltaAICc","DeltaLL","Feature1","Feature2","Feature3","Feature4","Feature5","Feature6","Feature7"
"52","water.beach.opend",-212948.730547058,5,425907.490456643,425907.603027,5.27450507451486e-05,0.652028859983169,-212948.745228322,9.50139086897252,9.56910141295521,4.34408940398134,1,1.00229936795586,2500,456.392728386467,NA,NA,NA
"53","water.scrub.fixed",-99999,5,425909.670713883,425909.78328424,8.95669767195346e-08,0.651953500174031,-212949.835356942,11.6816481089918,11.7493586529745,5.43421802399098,1,2361.09251728554,2500,2154.47400514854,NA,NA,NA
"54","water.scrub.opend",-212947.937835621,5,425906.464896144,425906.577466501,0.000139879642684405,0.652080912898363,-212948.232448072,8.47583036997821,8.5435409139609,3.83130915398942,1,994.64949711799,2500,988.516304257367,NA,NA,NA
"55","water.fixed.opend",-212948.909601846,5,425908.021164225,425908.133734582,5.32749851050468e-05,0.652072392095173,-212949.010582113,10.032098450989,10.0998089949717,4.60944319498958,3.35191505398916,1,2500,2432.53759244197,NA,NA,NA
"56","agric.beach.scrub",-212948.798911395,5,425907.597822788,425907.710393144,9.06967818070562e-06,0.651944098062076,-212948.798911394,9.6087570139789,9.67646755697206,4.39777247598977,3.91928104905355,739.313326946172,2500,1,NA,NA,NA
"57","agric.beach.fixed",-212947.817124724,5,425905.801808704,425905.914379061,0.000159260143119049,0.651858593747077,-212947.900904352,7.81274292996386,7.88045347400475,3.49976543398225,1,201.522883148317,2500,842.909534107162,NA,NA,NA
"58","agric.beach.opend",-212948.725243613,5,425908.327927036,425908.440497392,6.58585271851196e-05,0.652066142645476,-212949.163963518,10.3388612619601,10.4065718049533,4.76282459998038,1,90.4838973713813,577.054703135797,2500,NA,NA,NA
"59","agric.scrub.fixed",-212946.465684247,5,425902.987070618,425903.099640974,0.000139102128732205,0.65199265062409,-212946.493535309,4.99800484400475,5.06571538699791,2.09239639100269,1,887.40318707445,726.681902826729,2500,NA,NA,NA
"60","agric.scrub.opend",-212947.655466844,5,425906.576761258,425906.689331614,9.69832543142397e-05,0.652048521483731,-212948.288380629,8.58769548399141,8.65540602698456,3.88724171099602,1,259.265410196034,2500,972.233508814266,NA,NA,NA
"61","agric.fixed.opend",-212946.773977192,5,425904.19797158,425904.310541936,0.000179834670036281,0.651883022307173,-212947.09898579,6.20890580600826,6.27661634900142,2.69784687200445,1,2500,1507.58467652752,925.400514033768,NA,NA,NA
"62","beach.scrub.fixed",-99999,5,425909.673190553,425909.78576091,2.77884464055067e-08,0.65195449046448,-212949.836595277,11.6841247789562,11.7518353229971,5.43545635900227,1,89.0863886628304,2500,2447.96765168217,NA,NA,NA
"63","beach.scrub.opend",-212947.515912802,5,425905.489364925,425905.601935282,0.000158498159938126,0.652154218751698,-212947.744682463,7.50029915099731,7.56800969497999,3.34354354499374,0.999999999999545,2500,428.577391535077,315.191376302952,NA,NA,NA
"64","beach.fixed.opend",-212948.730284036,5,425908.322775422,425908.435345778,6.59445874938844e-05,0.652066426275314,-212949.161387711,10.3337096479954,10.4014201909886,4.76024879299803,1,563.213532310002,1.05608972027585,2500,NA,NA,NA
"65","scrub.fixed.opend",-212948.056169577,5,425906.660754175,425906.773324532,9.80127654871353e-05,0.652062197715636,-212948.330377088,8.67168840096565,8.73939894500654,3.92923816997791,1,2500,225.531297451662,923.053664044703,NA,NA,NA
"66","urban.water.agric.beach",-212945.277915751,6,425902.545831377,425902.703726114,0.000103960277985828,0.651950448981529,-212945.272915688,4.55676560295979,4.66980052698636,0.871776769985445,74.8221909627973,1,1.93579205532433,134.580865731885,2500,NA,NA
"67","urban.water.agric.scrub",-99999,6,425911.406508603,425911.56440334,8.555708061434e-06,0.65196129032136,-212949.703254301,13.4174428289989,13.5304777529673,5.302115383005,1,2500,1532.47123833251,13.1469985485492,1757.48177792734,NA,NA
"68","urban.water.agric.fixed",-212945.619465282,6,425903.238930562,425903.396825299,0.000158190364383306,0.651397817747369,-212945.619465281,5.24986478796927,5.36289971199585,1.21832636298495,1.22992486322528,2500,1,84.1776057073371,238.170972394386,NA,NA
"69","urban.water.agric.opend",-212948.451409737,6,425908.902819473,425909.06071421,3.45794812995455e-05,0.651701816061321,-212948.451409737,10.9137536989874,11.0267886229558,4.05027081898879,2.03166768213805,1104.73839883975,2500,45.2021726710536,1,NA,NA
"70","urban.water.beach.scrub",-99999,6,425911.671562353,425911.82945709,1.42468451536164e-08,0.651956313533703,-212949.835781177,13.6824965789565,13.7955315029831,5.43464225900243,1,2500,1236.00915036279,2437.91497533916,172.286889389619,NA,NA
"71","urban.water.beach.fixed",-212948.514268394,6,425909.028408803,425909.18630354,1.24642132768614e-05,0.65186711535619,-212948.514204402,11.0393430289696,11.1523779529962,4.11306548397988,1,2500,247.174384913286,2142.57083747557,972.585512024473,NA,NA
"72","urban.water.beach.opend",-212948.733048775,6,425910.324690442,425910.482585179,6.58798768215154e-05,0.652062225039803,-212949.162345221,12.3356246679905,12.4486595919589,4.76120630299556,1,12.504333384014,86.1432525667292,616.796747558229,2500,NA,NA
"73","urban.water.scrub.fixed",-99999,6,425911.668128421,425911.826023158,7.74914290889121e-08,0.651953938952248,-212949.834064211,13.6790626469883,13.7920975709567,5.43292529298924,1,63.613034562492,2345.59455180386,1555.61100725746,2500,NA,NA
"74","urban.water.scrub.opend",-212947.931277881,6,425908.0414783,425908.199373037,0.000115894368142416,0.6520494400223,-212948.02073915,10.0524125259835,10.1654474499519,3.61960023199208,0.999999999999545,41.6313017155462,1080.26985308992,2500,985.851503428328,NA,NA
